Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,75506595,9,7,62,11607,20,0,6.888888889,5.30199124,4380,0,1658.142857,1942.877285,154.5427919,0.21190202,5033773.0,17600000.0,68400000,1,73800000,9224422.375,24000000.0,68400000,1,1712073,285345.5,698362.1097,1710871,3,0,0,0,0,192,152,0.119194886,0.092707134,0,4380,686.7647059,1455.107536,2117337.941,0,0,0,0,1,0,0,0,0,729.6875,6.888888889,1658.142857,192,0,0,0,0,0,0,9,62,7,11607,256,229,7,20,2001.0,0.0,2001,2001,36900000.0,44600000.0,68400000,5372887,DDoS
80,424399,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,27410.52642,18.85018579,60628.42857,159875.6811,423192,45,851,425.5,478.7112909,764,87,424354,106088.5,211402.592,423192,149,0,0,0,0,72,112,7.068819672,11.78136612,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,710509,3,6,26,11601,20,0,8.666666667,10.26320288,5840,0,1933.5,2201.078258,16364.32473,12.66697537,88813.625,240924.9347,684710,75,24970,12485.0,16749.94543,24329,641,710434,142086.8,303525.3563,684710,192,0,0,0,0,72,132,4.222325122,8.444650244,0,5840,1162.7,1918.795458,3681776.011,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,80332476,8,7,56,11601,20,0,7.0,5.656854249,4380,0,1657.285714,1561.969346,145.1094325,0.186723984,5738034.0,20900000.0,78300000,2,80300000,11500000.0,29500000.0,78300000,3,31673,5278.833333,9673.236075,24213,49,0,0,0,0,172,152,0.099586125,0.087137859,0,4380,728.9375,1300.351618,1690914.329,0,0,0,0,1,0,0,0,0,777.5333333,7.0,1657.285714,172,0,0,0,0,0,0,8,56,7,11601,256,229,6,20,2032931.0,0.0,2032931,2032931,78300000.0,0.0,78300000,78300000,DDoS
80,84873070,8,5,56,11601,20,0,7.0,5.656854249,4380,0,2320.2,2207.341206,137.3462749,0.153169904,7072755.833,23200000.0,80800000,0,84900000,12100000.0,30300000.0,80800000,0,45389,11347.25,21422.87211,43473,34,0,0,0,0,172,112,0.094258403,0.058911502,0,4380,833.0714286,1679.986285,2822353.918,0,0,0,0,1,0,0,0,0,897.1538462,7.0,2320.2,172,0,0,0,0,0,0,8,56,5,11601,256,229,6,20,4046906.0,0.0,4046906,4046906,80800000.0,0.0,80800000,80800000,DDoS
80,52604,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,221142.8789,152.0796898,7514.857143,19416.77486,51545,4,809,404.5,451.8412332,724,85,52545,13136.25,25608.15127,51545,4,0,0,0,0,72,112,57.02988366,95.0498061,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,882157,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,13186.99506,7.935095454,147026.1667,359675.2846,881210,6,897,448.5,564.9783182,848,49,882111,294037.0,508506.9287,881210,6,0,0,0,0,72,92,3.400755194,4.534340259,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,1753971,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,6632.378757,3.990943978,292328.5,715712.2736,1753270,5,621,310.5,412.2432534,602,19,1753919,584639.6667,1012063.607,1753270,5,0,0,0,0,72,92,1.710404562,2.280539416,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,74405534,9,6,62,11601,20,0,6.888888889,5.30199124,5840,0,1933.5,2189.772933,156.7490934,0.201597908,5314681.0,17700000.0,66500000,1,74400000,9300618.25,23300000.0,66500000,1,28180,5636.0,12310.39037,27657,48,0,0,0,0,192,132,0.120958745,0.080639163,0,5840,729.3125,1589.473738,2526426.763,0,0,0,0,1,0,0,0,0,777.9333333,6.888888889,1933.5,192,0,0,0,0,0,0,9,62,6,11601,256,229,7,20,2000.0,0.0,2000,2000,37200000.0,41400000.0,66500000,7919810,DDoS
80,949686,3,4,26,11601,20,0,8.666666667,10.26320288,5840,0,2900.25,3345.636997,12242.994,7.370857315,158281.0,383101.3988,940248,4,9223,4611.5,6515.988989,9219,4,949650,316550.0,540157.4171,940248,158,0,0,0,0,72,92,3.158938849,4.211918466,0,5840,1453.375,2681.356423,7189672.268,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
